,text,ID,Gattung
0,in dein seele unbeflecktem adel   in ihr unschuld wurzeln dein schwäche   und was die meiste vor gemein tadel bewahren   die sein ihr inner gebrech   es können einer du die leben rauben   und sein du schon halb dein blut entquollen   so werden du er noch in+die sterben glauben   er hätt ' du blos die ader öffnen wollen   wollen die natur die schönheit rein entfalten   so dürfen sie nichts von ihr feind ihr sagen   sie können nur dann die herrlichste gestalten   doch müssen sie sein untergang auch wagen   oft wünschen ' ich du zu dein voll frieden   du mögen in die brust die feind lesen   doch wissen ich wohl   es werden du nicht bescheiden   denn dies mangel tragen dein ganz wesen   ,=,Lyrik
1, berlin   september  o beckerath   o beckerath   nun schaffen du und wecken rat   schon wieder drängen sich an die thron die mutter die rebellion   reaktion   die feilen metze   mit ihr köder   ihr netz   zu retten freiheit und gesetz   o beckerath   o beckerath   nun sehen auf du die leck staat   o beckerath   o beckerath   nun sehen auf du die leck staat   nun helfen die schön rede|reden nicht   auch nicht die schmerz in+die angesicht   die sanft mund   die edel miene   auch nicht die beifall die tribüne   nun gelten es   dass man die freiheit dienen   o beckerath   o beckerath   nun helfen allein die keck tat   ,=,Lyrik
2,die himmel dunkeln noch immer   ich fühlen tief bis in mein zimmer die fahl wolke voll schoß   die esche drüben drehen schwer die hoch krone um sich her   zwei blatt treiben wirbelnd los   laut ticken durch die schwül stube   wie durch die still totengrube die holzwurm ticken mögen   die uhr   und durch die tür hinter ich klingen dünn und schüchtern eine klavier über die flur   die himmel lasten wie schiefer   ihr spiel klingen immmer trauertiefer   ich sehen sie wohl   dumpf ringen die wind in+die eschenlaub   die luft sein grau von glut und staub und seufzen hohl   und blass tönen durch die wand die tastend verweint hand   sie sitzen und singen   singen sich die lied   in sich bücken   mit die sie ich als braut entzücken   ich fühlen   wie ihr atem ringen   die wolke werden immer dumpf   die wund ton immer stumpf   wie messer stumpf   wie messer spitz   und aus die alt liebeslied klagen zwei kinderstimme mit   da fallen die erst blitz   ,=,Lyrik
3,helena lied aus eine novelle   @ord@ bei die winterlampe schimmer   wie eine siedler einschließen   über+die bücherstaub verdrießen brüten ' ich in+die öde zimmer   nichts mehr hoffen ' ich von die stunde|stunden freudlos abgemeßnem flug   ach   es sein ich längst entschwinden   dass die welt einst rose tragen   horch   da rauschen ' es auf die stufe wie von leicht götterschritten   horch   da pochen ' es an mit sitte   und ich haben '   herein   rufen   aber jählings   glanzerschrocken   sprachlos taumeln ' ich zurück   denn   die kranz in reich locke|locken   stand in mein tür   die glück   ,=,Lyrik
4,märz und aus die erde schauen nur alleine noch schneeglöckchen   so kalt   so kalt sein noch die flur   es frieren in+die weiß röckchen   ,=,Lyrik
5,novembersonne in die ächzend gewinden haben die kelter sich drehen   unter mein alt linde liegen die laub hoch aufgeweht   dies erde werk rasten   schon beginnen die winterruh   sonne   noch mit unverblaßten   goldnen strahl|strahlen wanderst du   ehe sich die jahr entlauben   gehen   traun   sie müßig nie   nun an dein licht haupt flamme unbeschäftigt sie   erst eine ackerknecht   eine schnitter   und eine traubenkoch zuletzt   sein du nun die frei ritter   die sich auf die fahrt ergetzt   und die schüler   zu die bank kehrend   grüßen jubelvoll   hinlagern vor die schenke|schenken   du als musengott apoll   ,=,Lyrik
6,vorüber rauschen wind und welle   doch duft und perle|perlen tragen ihr schos   drum rasch aus eng   dumpf zelle und von du selbe ringen ' du los   auch außen blühen es und singen es wie immer   o wandeln nur durch wald und feld   wollen forschend du du selbst gewinnen   verlieren du in gott und welt   ,=,Lyrik
7,samenzeit same warm in tief luft   zwei odem durchschauernder duft   schweigend sage|sagen   seligsein   feuchtleuchtende stern schau|schauen drein   glück röte auf träumend wange über nacht aufgehen   schlummernd seele die traum führen   tauige welt in sich spüren besamte   ,=,Lyrik
8,fehrbellin die bitter not von dreißig schwer jahr finden längst ihr ende zwar   jedoch die friede   die dies krieg beschließen   sein hart und bitter   fast wie die krieg sein   reich an schmach und landraub   die fremde reißen an sich altdeutsch marke   heilen du   du brandenburgisch schwert     hell blitztest du auf bei fehrbellin und du gewannst nach lang zeit die erst deutsch sieg   ,=,Lyrik
9,ach   dass die dunkel nacht   die feucht nacht kommen   die süß   dunkel   feucht nacht von wir die hülle nehmen   allabendlich kommen eine jungfrau   wir sorglich zu begießen   aus ihr kännlein die wasser perle|perlen zitternd über wir fließen   ihr schön   weiß antlitz stehen über wir mit verlangen   ob von die viele   viele knospe noch keine aufgehen   ach   dass die dunkel nacht   die feucht nacht kommen   die süß   dunkel   feucht nacht von wir die hülle nehmen       ,=,Lyrik
10, arabisch sprichwort die paradies die erde liegen auf die rücken die pferd   in die gesundheit die leib und an+die herz die weib   ,=,Lyrik
11,spät an+die abend   früh an+die morgen muss ich wachen   müssen ich sorgen   muss ich an die wiege stehn und nach mein kindlein sehen   keine ruhen ' an keine tag   immer neu last und plage   ach   wie flohst du doch so weit schöne   frei jugendzeit   horch   was regen sich   herzig bübchen   blühnde wange   fein grübchen   aeuglein dunkel wie die nacht   gott   wie ich die selig machen   ,=,Lyrik
12,ermunterung blick ' um du her   es reden du von+die liebe|lieben   was du nur schauen in alle höh ' und tiefe   die rose liegen still in+die moos und schlafen   wenn sie die liebe nicht an+die licht treiben   es sein stumm die nachtigall bleiben   wenn sehnsucht ewig nicht zu lied rufen   ja   selbst die himmel werd zu+die liebesbrief   mit silberschrift auf blau grund schreiben   o sehen   wie so die welt in süß zwang sich drehen   wie selbst die seelenlose gerne sich überlassen die allgemein drang   drum lang nicht von+die strahl die leben ferne verschließ dein herz   laß glühen dies wange und tun wie rose   nachtigall und stern   ,=,Lyrik
13,wir können auch die trompete blasen wir können auch die trompete blasen und schmettern weithin durch die land   doch schreiten wir lieb in maientagen   wenn die primel blühn und die drossel|drosseln schlagen   still sinnend an die bach rand   ,=,Lyrik
14,vorgefühl die sein die frühling nicht allein   die durch die baum dränget und wie in+die fass die jung wein die reifen fast zersprenget   die frühling sein ja zart und kühl   eine mädchenhaft saum|säumen   jetzt aber wogen es reif und schwül wie julinächte träumen   es blinken die see   es rauschen die bucht   die mond zeihen|ziehen lau kreis   die hauch die nachtluft füllen die frucht   die gras erschauern leise   die sein die frühling nicht allein   die wecken nicht solche bild                               ,=,Lyrik
