,text,ID,Gattung
0,in dein seele unbeflecktem adel   in ihr unschuld wurzeln dein schwäche   und was die meiste vor gemein tadel bewahren   die sein ihr inner gebrech   es können einer du die leben rauben   und sein du schon halb dein blut entquollen   so werden du er noch in+die sterben glauben   er hätt ' du blos die ader öffnen wollen   wollen die natur die schönheit rein entfalten   so dürfen sie nichts von ihr feind ihr sagen   sie können nur dann die herrlichste gestalten   doch müssen sie sein untergang auch wagen   oft wünschen ' ich du zu dein voll frieden   du mögen in die brust die feind lesen   doch wissen ich wohl   es werden du nicht bescheiden   denn dies mangel tragen dein ganz wesen   ,InDasAlbumEinerEdelnFrau,Lyrik
1,die himmel dunkeln noch immer   ich fühlen tief bis in mein zimmer die fahl wolke voll schoß   die esche drüben drehen schwer die hoch krone um sich her   zwei blatt treiben wirbelnd los   laut ticken durch die schwül stube   wie durch die still totengrube die holzwurm ticken mögen   die uhr   und durch die tür hinter ich klingen dünn und schüchtern eine klavier über die flur   die himmel lasten wie schiefer   ihr spiel klingen immmer trauertiefer   ich sehen sie wohl   dumpf ringen die wind in+die eschenlaub   die luft sein grau von glut und staub und seufzen hohl   und blass tönen durch die wand die tastend verweint hand   sie sitzen und singen   singen sich die lied   in sich bücken   mit die sie ich als braut entzücken   ich fühlen   wie ihr atem ringen   die wolke werden immer dumpf   die wund ton immer stumpf   wie messer stumpf   wie messer spitz   und aus die alt liebeslied klagen zwei kinderstimme mit   da fallen die erst blitz   ,DrueckendeLuft,Lyrik
2,vorüber rauschen wind und welle   doch duft und perle|perlen tragen ihr schos   drum rasch aus eng   dumpf zelle und von du selbe ringen ' du los   auch außen blühen es und singen es wie immer   o wandeln nur durch wald und feld   wollen forschend du du selbst gewinnen   verlieren du in gott und welt   ,Zuruf,Lyrik
3,ach   dass die dunkel nacht   die feucht nacht kommen   die süß   dunkel   feucht nacht von wir die hülle nehmen   allabendlich kommen eine jungfrau   wir sorglich zu begießen   aus ihr kännlein die wasser perle|perlen zitternd über wir fließen   ihr schön   weiß antlitz stehen über wir mit verlangen   ob von die viele   viele knospe noch keine aufgehen   ach   dass die dunkel nacht   die feucht nacht kommen   die süß   dunkel   feucht nacht von wir die hülle nehmen       ,LiedDerKnospen,Lyrik
4,spät an+die abend   früh an+die morgen muss ich wachen   müssen ich sorgen   muss ich an die wiege stehn und nach mein kindlein sehen   keine ruhen ' an keine tag   immer neu last und plage   ach   wie flohst du doch so weit schöne   frei jugendzeit   horch   was regen sich   herzig bübchen   blühnde wange   fein grübchen   aeuglein dunkel wie die nacht   gott   wie ich die selig machen   ,DieJungeMutter,Lyrik
5,o dass die kuss doch ewig dauern mögen   starr stehen   wie binse starr   die schwarm die gast   die kuss doch ewig   die ich auf die recht|rechte   tanztaumelnd du auf hals und brust pressen   nein   lang duld'ich nicht dies blöd sehne|sehnen   ich wollen nicht lang in verzückt harme die liebekranken glied nächtens dehnen   o kommen   du weib   kommen   betteln mein arm|arme   o kommen   noch fühlen du zitternd jede sinn   von+die heiß duft berauschen aus dein kleid   noch wogen um ich   du flammenkönigin   und glühen in+die aschenflor die kupferseide   gießen aus in ich die schale dein glut   ich dürste nach die sünde   nach die grauen vor dies feuerregens wild brut   vor dies wehn   die wühlend in ich brauen   es schießen die saat aus ihr dunkel schoß   die lange schmachtend liegen in spröde hülle   ich wollen ich laut blühn   laut und los aus dies brünstigkeit zu frucht und fülle   o kommen   satt sein ich mein knabenlust   kommen   kommen   du weib   nehmen auf in dein schale die furcht   die sehnsucht dies jung brust   noch trinken ich nie die rausch euer pokal   auf nelkendüften kommen die nacht ziehen   o kämst auch du so süß und so verstohlen   so mondesweiß   o sehen   auf sammetwogen   auf purpurflaum   auf schwarz viole wollen ich du betten   oh   du an ich betten   dass alle mein macht an die weib blendend göttlichkeiten sich entketten   hinschwellend in die teppich dein leib   ,VenusPrimitiva,Lyrik
6,von dies linde können ich schauen hinab in die verklärt land   die sonne überglänzt die aue bis an die fern himmelsrand   durch laubgewirr die strahl|strahlen flimmern   es sein so still in weit welt   von+die dorf die rot dach schimmern aus ährenblondem weizenfeld   schneeweiß wolkenschäfchen gleiten unmerklich durch die himmelsland   dass mein seele nach die weit tiefblau reich die flügel spannen   ich haben ' da wie in+die traum liegen und wissen nun nicht vor lauter lust   wohin ich sollen mit alle ' die segen   mit alle ' die liebe in mein brust     ,VonDieserLindeKannIchSchauen,Lyrik
7,die knabe weinen   die mutter legen die hold liebling auf die kissen   doch er   von+die wein|weinen aufregen   will nichts von rast und schlummer wissen da singen die mutter lied um lied   und immer süß werden die weise   und um die klein bettchen zeihen|ziehen die schlummer sein zauberkreise   und wie die weise sanft verklingen   werden immer leise auch die wein|weinen   bis am geschloss'nen auge blinken die stumm thräne nur die kleine   bald spiegeln auch eine licht traum sich in die klar zug wieder   die mutter aber athmet kaum und beugen sich zu die liebling nieder   mit scheu finger hüllen sie dicht die schläfer in die warm decke|decken   sie möcht ' er küssen   wagen es nicht   aus furcht   er mit die kuss zu wecken   sie blicken er lange selig an   und gehen dann fort   und kehren wieder   und thut   was sie nicht lassen können   und neigen sich küssend zu er nieder   und sinken   von dankgefühl durchwehen   auf ihr knie ' an+die klein bett   und sprechen eine innig gebet   und suchen dann selbst die schlummerstätte   ,DieJungeMutter2,Lyrik
8,so wie die letzt grün in farbentiegeln sein dies blatt   trocken   stumpf und rauh   hinter die blütendolden   die eine blau nicht auf sich tragen   nur von ferne spiegeln   sie spiegeln es verweinen und ungenau   als wollen sie es wiederum verlieren   und wie in alt blau briefpapieren sein gelb in sie   violett und grau   verwaschnes wie an eine kinderschürze   nichtmehrgetragnes   die nichts mehr geschehen   wie fühlen man eine klein leben kürze   doch plötzlich scheinen die blau sich zu verneuen in eine von die dolden   und man sehen eine rührend blaue sich vor grüne freuen   ,BlaueHortensien,Lyrik
9,an sein schwarz   flatternd flechte|flechten hab ' ich die glück auf+die ross ich reißen   die dirne wehren sich mit wütend biß   ich aber müssen und werden sie knechten   rot sein ihr mund   die zahn blitzen   ich wollen er küssen   sie sollen ich lieben   dann reiten wir   dass die funken stieben   eine sieger wollen ich in+die sattel sitzen   ,Raub,Lyrik
